20140423 135134.594 [08996] CLI Starting up; pid 8996
20140423 135134.594 [08996] CLI Sauce Connect 4.1, build 905 bd71d37
20140423 135134.594 [08996] CLI Command line arguments: sc.exe -u TigerairQA -k ****
20140423 135135.793 [08996] CLI GET https://saucelabs.com/rest/v1/TigerairQA/tunnels?full=1 failed, response code: 401.
20140423 151833.692 [07248] KGP warning: no keepalive ack for > 5s
20140423 152118.712 [07248] KGP warning: no keepalive ack for > 5s
20140423 152145.714 [07248] KGP warning: no keepalive ack for > 5s
20140423 152146.715 [07248] KGP warning: no keepalive ack for > 5s
20140423 152149.625 [07248] PROXY 127.0.0.1:56596 <- bs.serving-sys.com:443 connection error: No error
20140423 152336.728 [07248] KGP warning: no keepalive ack for > 5s
20140423 152342.728 [07248] KGP warning: no keepalive ack for > 5s
20140423 152343.728 [07248] KGP warning: no keepalive ack for > 5s
20140423 152344.728 [07248] KGP warning: no keepalive ack for > 5s
20140423 152346.191 [07248] PROXY 127.0.0.1:56794 <- bs.serving-sys.com:443 connection error: No error
20140423 152536.750 [07248] KGP warning: no keepalive ack for > 5s
20140423 152537.750 [07248] KGP warning: no keepalive ack for > 5s
20140423 152539.098 [07248] PROXY 127.0.0.1:56872 <- bs.serving-sys.com:443 connection error: No error
20140423 152615.760 [07248] KGP warning: no keepalive ack for > 5s
20140423 152616.761 [07248] KGP warning: no keepalive ack for > 5s
20140423 152617.762 [07248] KGP warning: no keepalive ack for > 5s
20140423 152618.762 [07248] KGP warning: no keepalive ack for > 5s
20140423 152619.762 [07248] KGP warning: no keepalive ack for > 5s
20140423 152620.762 [07248] KGP warning: no keepalive ack for > 5s
20140423 152622.321 [07248] PROXY 127.0.0.1:56965 <- bs.serving-sys.com:443 connection error: No error
20140423 152627.763 [07248] KGP warning: no keepalive ack for > 5s
20140423 152628.763 [07248] KGP warning: no keepalive ack for > 5s
20140423 152629.763 [07248] KGP warning: no keepalive ack for > 5s
20140423 152636.764 [07248] KGP warning: no keepalive ack for > 5s
20140423 152637.764 [07248] KGP warning: no keepalive ack for > 5s
20140423 152638.764 [07248] KGP warning: no keepalive ack for > 5s
20140423 152639.764 [07248] KGP warning: no keepalive ack for > 5s
20140423 152640.764 [07248] KGP warning: no keepalive ack for > 5s
20140423 152641.764 [07248] KGP warning: no keepalive ack for > 5s
20140423 152642.764 [07248] KGP warning: no keepalive ack for > 5s
20140423 152643.764 [07248] KGP warning: no keepalive ack for > 5s
20140423 152644.764 [07248] KGP warning: no keepalive ack for > 5s
20140423 152645.764 [07248] KGP warning: no keepalive ack for > 5s
20140423 152646.766 [07248] KGP warning: no keepalive ack for > 5s
20140423 152647.766 [07248] KGP warning: no keepalive ack for > 5s
20140423 152740.775 [07248] KGP warning: no keepalive ack for > 5s
20140423 152823.780 [07248] KGP warning: no keepalive ack for > 5s
20140423 152951.792 [07248] KGP warning: no keepalive ack for > 5s
20140423 153057.802 [07248] KGP warning: no keepalive ack for > 5s
20140423 153058.802 [07248] KGP warning: no keepalive ack for > 5s
20140423 153059.803 [07248] KGP warning: no keepalive ack for > 5s
20140423 153100.803 [07248] KGP warning: no keepalive ack for > 5s
20140423 153101.803 [07248] KGP warning: no keepalive ack for > 5s
20140423 153102.803 [07248] KGP warning: no keepalive ack for > 5s
20140423 153103.803 [07248] KGP warning: no keepalive ack for > 5s
20140423 153104.803 [07248] KGP warning: no keepalive ack for > 5s
20140423 153106.804 [07248] KGP warning: no keepalive ack for > 5s
20140423 153107.804 [07248] KGP warning: no keepalive ack for > 5s
20140423 153109.427 [07248] PROXY 127.0.0.1:57254 <- bs.serving-sys.com:443 connection error: No error
20140423 153147.811 [07248] KGP warning: no keepalive ack for > 5s
20140423 153148.811 [07248] KGP warning: no keepalive ack for > 5s
20140423 153149.811 [07248] KGP warning: no keepalive ack for > 5s
20140423 153150.811 [07248] KGP warning: no keepalive ack for > 5s
20140423 153151.811 [07248] KGP warning: no keepalive ack for > 5s
20140423 153152.811 [07248] KGP warning: no keepalive ack for > 5s
20140423 153155.918 [07248] PROXY 127.0.0.1:57339 <- bs.serving-sys.com:443 connection error: No error
20140423 153212.814 [07248] KGP warning: no keepalive ack for > 5s
20140423 153213.814 [07248] KGP warning: no keepalive ack for > 5s
20140423 153214.814 [07248] KGP warning: no keepalive ack for > 5s
20140423 153215.814 [07248] KGP warning: no keepalive ack for > 5s
20140423 153216.815 [07248] KGP warning: no keepalive ack for > 5s
20140423 153217.815 [07248] KGP warning: no keepalive ack for > 5s
20140423 153218.815 [07248] KGP warning: no keepalive ack for > 5s
20140423 153219.815 [07248] KGP warning: no keepalive ack for > 5s
20140423 153310.824 [07248] KGP warning: no keepalive ack for > 5s
20140423 153613.849 [07248] KGP warning: no keepalive ack for > 5s
20140423 153615.151 [07248] PROXY 127.0.0.1:57604 <- bs.serving-sys.com:443 connection error: No error
20140423 153620.352 [07248] PROXY 127.0.0.1:57612 <- bs.serving-sys.com:80 DNS error: non-recoverable failure in name resolution (11003)
20140423 153655.855 [07248] KGP warning: no keepalive ack for > 5s
20140423 153656.856 [07248] KGP warning: no keepalive ack for > 5s
20140423 153657.856 [07248] KGP warning: no keepalive ack for > 5s
20140423 153658.856 [07248] KGP warning: no keepalive ack for > 5s
20140423 153659.857 [07248] KGP warning: no keepalive ack for > 5s
20140423 153700.581 [07248] PROXY 127.0.0.1:57661 <- www.travelnow.com:443 DNS error: non-recoverable failure in name resolution (11003)
20140423 153700.587 [07248] PROXY 127.0.0.1:57663 <- www.travelnow.com:443 DNS error: non-recoverable failure in name resolution (11003)
20140423 153703.346 [07248] PROXY 127.0.0.1:57603 <- bs.serving-sys.com:443 connection error: No error
20140423 153718.862 [07248] KGP warning: no keepalive ack for > 5s
20140423 153719.862 [07248] KGP warning: no keepalive ack for > 5s
20140423 153720.862 [07248] KGP warning: no keepalive ack for > 5s
20140423 153721.862 [07248] KGP warning: no keepalive ack for > 5s
20140423 153722.862 [07248] KGP warning: no keepalive ack for > 5s
20140423 153723.862 [07248] KGP warning: no keepalive ack for > 5s
20140423 153724.862 [07248] KGP warning: no keepalive ack for > 5s
20140423 153818.870 [07248] KGP warning: no keepalive ack for > 5s
20140423 154028.886 [07248] KGP warning: no keepalive ack for > 5s
20140423 161001.142 [07248] KGP warning: no keepalive ack for > 5s
20140423 161252.168 [07248] KGP warning: no keepalive ack for > 5s
20140423 161315.171 [07248] KGP warning: no keepalive ack for > 5s
20140423 161316.171 [07248] KGP warning: no keepalive ack for > 5s
20140423 161317.172 [07248] KGP warning: no keepalive ack for > 5s
20140423 161318.172 [07248] KGP warning: no keepalive ack for > 5s
20140423 161319.172 [07248] KGP warning: no keepalive ack for > 5s
20140423 161320.172 [07248] KGP warning: no keepalive ack for > 5s
20140423 161321.172 [07248] KGP warning: no keepalive ack for > 5s
20140423 161444.184 [07248] KGP warning: no keepalive ack for > 5s
20140423 163705.348 [07248] KGP warning: no keepalive ack for > 5s
20140424 082538.515 [07248] KGP warning: no keepalive ack for > 5s
20140424 082539.515 [07248] KGP warning: no keepalive ack for > 5s
20140424 082540.515 [07248] KGP warning: no keepalive ack for > 5s
20140424 082541.515 [07248] KGP warning: no keepalive ack for > 5s
20140424 082546.650 [07248] PROXY 127.0.0.1:50487 <- bs.serving-sys.com:443 connection error: No error
20140424 082629.525 [07248] KGP warning: no keepalive ack for > 5s
20140424 082630.525 [07248] KGP warning: no keepalive ack for > 5s
20140424 082631.525 [07248] KGP warning: no keepalive ack for > 5s
20140424 082632.526 [07248] KGP warning: no keepalive ack for > 5s
20140424 082633.526 [07248] KGP warning: no keepalive ack for > 5s
20140424 082634.527 [07248] KGP warning: no keepalive ack for > 5s
20140424 082636.339 [07248] PROXY 127.0.0.1:50629 <- bs.serving-sys.com:443 connection error: No error
20140424 082639.527 [07248] KGP warning: no keepalive ack for > 5s
20140424 082640.527 [07248] KGP warning: no keepalive ack for > 5s
20140424 082641.527 [07248] KGP warning: no keepalive ack for > 5s
20140424 082642.528 [07248] KGP warning: no keepalive ack for > 5s
20140424 082643.528 [07248] KGP warning: no keepalive ack for > 5s
